review_id,user_id,rating,created_date,option_name,review_text,photo_urls,image_count,text_length
rev_001,minh******,5,2026.07.16,오늘도새우장: 오늘도새우장 300g,메가쇼에서 사서 먹어보고 너무 맛있어서 또 구매했습니다. 새우살이 진짜 통통하고 씹는 순간 톡 터지는 쫄깃쫄깃한 식감이 일품이에요! 간장 양념이 너무 짜지도 않고 달달하면서 감칠맛이 돌아서 밥 두 공기 뚝딱 비웠습니다. 남은 간장에 계란 노른자 얹어서 비벼 먹으니 최고네요. 다 먹으면 대용량으로 무조건 재구매할 예정입니다. 조금 더 큰 용량도 만들어주시면 좋겠어요^^,"['https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&auto=format&fit=crop&q=80', 'https://images.unsplash.com/photo-1544025162-d76694265947?w=600&auto=format&fit=crop&q=80']",2,206
rev_002,toss******,5,2026.07.15,오늘도새우장: 오늘도새우장 500g,"믿고 먹는 새우장 재구매 10000%입니다! 새우장 좋아하는 까다로운 중학생 아들이 다른 곳 새우장은 비리다고 절대 안 먹는데, 여기꺼 먹더니 '엄마 여기 새우는 비린 맛 하나도 없고 진짜 달아' 하면서 밥 세 그릇을 비우네요ㅋㅋ 남편도 '아들만 주지 말고 내 술안주도 남겨놔라' 하면서 쟁탈전 벌어졌습니다. 아이부터 어른까지 온 가족 입맛 제대로 사로잡았어요. 새우장은 이제 여기에 정착합니다!",['https://images.unsplash.com/photo-1615141982883-c7ad0e69fd62?w=600&auto=format&fit=crop&q=80'],1,221
rev_003,kimb******,5,2026.07.14,오늘도새우장: 오늘도새우장 300g (2개),새우장은 언제 먹어도 질리지 않아요. 새우 껍질이 다 까져있어서 손에 묻힐 필요 없이 젓가락으로 쏙쏙 집어먹기만 하면 되니까 먹기가 너무 편하고 위생적입니다. 특히 새우 다 먹고 남은 간장이 진짜 만능 맛간장이에요. 버리기 너무 아까워서 사장님 추천대로 간장계란밥 해먹고 메추리알 장조림까지 만들었습니다. 1석 2조 가성비 최고입니다!,['https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=600&auto=format&fit=crop&q=80'],1,187
rev_004,star******,5,2026.07.12,오늘도새우장: 오늘도새우장 500g,"새우장 진~~~~~~짜 맛있어요ㅠㅠ!!!! 제가 워낙 해산물 귀신이라 전국 유명 맛집 다 시켜먹어봤는데, 일단 입에 넣었을 때 살이 물렁거리지 않고 탱탱 쫀득하게 씹히는 탄력감 자체가 완전히 다릅니다!! 간장도 저염이라 짜지 않아서 국물 떠먹어도 부담 없어요. 서비스로 보내주신 오징어젓갈까지 감동 그 자체... 번창하세요 꼭꼭 다시 주문합니다!","['https://images.unsplash.com/photo-1559847844-5315695dadae?w=600&auto=format&fit=crop&q=80', 'https://images.unsplash.com/photo-1541544741938-0af808871cc0?w=600&auto=format&fit=crop&q=80']",2,193
rev_005,suji******,5,2026.07.10,선물세트: 새우장 500g + 전복장 300g,부산 음식 박람회 구경 갔을 때 시식해보고 눈이 번쩍 뜨여서 지인 선물용으로 여러 개 주문했습니다. 받는 분마다 여태껏 먹어본 간장새우장 중에 비린내도 안 나고 제일 깔끔하고 고급스럽다고 칭찬 일색이셔서 선물한 제가 다 뿌듯했네요. 아이스박스에 보냉팩 빵빵하게 채워져서 신선도 완벽하게 배송되었습니다. 포장도 선물하기 좋게 세련되었어요.,['https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=600&auto=format&fit=crop&q=80'],1,188
rev_006,love******,5,2026.07.09,오늘도새우장: 오늘도새우장 1kg 벌크,통영애서 새우장 맛있는 건 전 세계 사람들이 다 알아야 해요! 마트에서 파는 일반 새우장 사다 줬더니 10대 아들이 한 입 먹고 이건 그 맛이 아니라고 안 먹겠다고 하네요ㅋㅋ 남편도 벌크 대용량 없냐고 노래를 불러서 1kg 주문했는데 일주일도 안 돼서 바닥을 보였습니다. 밥도둑이라는 말이 괜히 나온 게 아니에요. 무조건 강추합니다.,['https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=600&auto=format&fit=crop&q=80'],1,186
rev_007,july******,5,2026.07.08,오늘도새우장: 오늘도새우장 300g,"여름철이라 해산물 택배 주문하는 게 조금 걱정스러웠는데, 보냉팩이랑 드라이아이스가 아직 꽝꽝 얼어있는 상태로 도착해서 감동했습니다. 위생 씰링 포장도 아주 깔끔해서 간장 한 방울 새지 않고 무사히 왔어요. 새우 내장도 깔끔하게 손질되어 있어서 쓴맛이나 텁텁함 전혀 없이 순수한 단맛만 가득합니다. 정성이 느껴지는 식품입니다.",['https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600&auto=format&fit=crop&q=80'],1,181
rev_008,park******,5,2026.07.07,오늘도새우장: 오늘도새우장 300g,평소 입이 짧아서 밥 한 공기 다 못 먹는 7살 딸아이가 이 새우장 간장에 비벼주면 한 그릇을 싹싹 비워요! 너무 짜거나 자극적인 조미료 맛이 아니라 자연스러운 단맛이라 안심하고 아이 먹일 수 있습니다. 새우 껍질 까는 번거로움도 없으니 바쁜 워킹맘에게는 최고의 반찬 구원투수예요. 냉장고에 떨어지지 않게 계속 주문할게요.,['https://images.unsplash.com/photo-1615141982883-c7ad0e69fd62?w=600&auto=format&fit=crop&q=80'],1,180
rev_009,user01****,5,2026.07.05,오늘도새우장: 오늘도새우장 300g,좋아요좋아요좋아요 맛있습니다 재구매할게요.,[],0,23
rev_010,user02****,4,2026.07.04,오늘도새우장: 오늘도새우장 300g,배송 빠르고 맛 괜찮아요.,[],0,14
